140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140
161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161
161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161
161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161
161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161
161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161
161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161
163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163;163
165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165
165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165
165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165
165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165
165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165
166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166
166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166
166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166
166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166
166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166
166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166;166
147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147
